iter	Passed	Remaining
0	5	524
1	8	407
2	11	368
3	15	362
4	18	355
5	22	357
6	26	352
7	31	359
8	35	356
9	39	354
10	42	342
11	46	342
12	51	343
13	54	336
14	57	325
15	60	320
16	64	313
17	67	308
18	71	305
19	74	298
20	79	298
21	83	296
22	86	291
23	90	287
24	97	292
25	100	285
26	103	279
27	106	273
28	109	267
29	113	263
30	116	260
31	120	255
32	123	250
33	130	253
34	134	249
35	137	243
36	141	240
37	146	238
38	150	234
39	153	230
40	156	225
41	160	221
42	164	217
43	167	213
44	170	208
45	174	204
46	179	202
47	183	198
48	187	194
49	190	190
50	194	186
51	198	183
52	201	179
53	204	174
54	207	169
55	212	167
56	216	163
57	221	160
58	224	156
59	229	152
60	232	148
61	236	144
62	239	140
63	243	136
64	246	132
65	249	128
66	252	124
67	255	120
68	259	116
69	262	112
70	266	108
71	269	104
72	273	100
73	277	97
74	281	93
75	284	89
76	287	85
77	290	81
78	294	78
79	298	74
80	301	70
81	304	66
82	307	63
83	311	59
84	314	55
85	317	51
86	322	48
87	326	44
88	329	40
89	332	36
90	336	33
91	339	29
92	342	25
93	345	22
94	348	18
95	352	14
96	355	11
97	360	7
98	363	3
99	367	0
